STA_LOC,RENT_ID,RENT_NO,RENT_NM,RENT_ID_NM,HOLD_NUM,STA_ADD1,STA_ADD2,STA_LAT,STA_LONG,START_INDEX,END_INDEX,RNUM
강서구,ST-1351,01166,강서구립등빛도서관,1166. 강서구립등빛도서관,20,서울특별시 강서구 강서로62길 48,강서구립등빛도서관,37.56256866,126.84246063,0,0,339
강서구,ST-1352,01167,마곡수명산파크3단지 교차로,1167. 마곡수명산파크3단지 교차로,25,서울특별시 강서구 내발산동 751-3,,37.55350876,126.82586670,0,0,340
영등포구,ST-1353,00279,영등포 푸르지오 아파트 B,279. 영등포 푸르지오 아파트 B,15,서울특별시 영등포구 도신로29길 28,영등포 푸르지오 아파트,37.51322937,126.90446472,0,0,341
동작구,ST-1354,02063,대방역 4번출구,2063. 대방역 4번출구,15,서울특별시 영등포구 여의대방로 300,대방역 4번출구,37.51290131,126.92661285,0,0,342
동작구,ST-1355,02064,흑석한강푸르지오 106동앞,2064. 흑석한강푸르지오 106동앞,5,서울특별시 동작구 흑석한강로 27,흑석한강푸르지오 106동앞,37.50535583,126.96617889,0,0,343
동작구,ST-1356,02065,서울시여성가족재단,2065. 서울시여성가족재단,10,서울특별시 동작구 여의대방로54길 18,서울여성가족재단,37.51198959,126.92708588,0,0,344
관악구,ST-1357,02176,보라매공원 보도육교,2176. 보라매공원 보도육교,15,서울특별시 관악구 신사로 132,보라매공원 보도육교,37.48899078,126.91638184,0,0,345
서초구,ST-1359,02292,무지개아파트 앞,2292. 무지개아파트 앞,15,서울특별시 서초구 효령로 391,무지개아파트 앞,37.48824310,127.02701569,0,0,346
중구,ST-136,00320,을지로입구역 4번출구 앞,320. 을지로입구역 4번출구 앞,17,서울특별시 중구 을지로 55,명동금융센터 앞,37.56622314,126.98358917,0,0,347
서초구,ST-1360,02293,SPC 앞,2293. SPC 앞,10,서울특별시 서초구 남부순환로 2620,SPC 앞,37.48479843,127.03699493,0,0,348
서초구,ST-1361,02294,두상빌딩 앞,2294. 두상빌딩 앞,15,서울특별시 서초구 언남길 87,두상빌딩 앞,37.47590637,127.04624176,0,0,349
강남구,ST-1364,02384,자곡사거리,2384. 자곡사거리,15,서울특별시 강남구 밤고개로 206,자곡사거리,37.47602844,127.10594177,0,0,350
강남구,ST-1365,02385,학동역,2385. 학동역,10,서울특별시 강남구 학동로 지하 180,학동역,37.51395035,127.03015137,0,0,351
강남구,ST-1366,02386,크린랩 본사,2386. 크린랩 본사,10,서울특별시 강남구 봉은사로 지하 201,sk 동우주유소 앞,37.50958633,127.04090881,0,0,352
